Date,Portfolio,Benchmark
2021-08-24,1.1859027421160895,1.5172450300577252
2021-08-25,1.1978255716561614,1.5249535310450242
2021-08-26,1.1879575987436661,1.514681760257479
2021-08-27,1.2075437711135466,1.5312819745365784
2021-08-30,1.2048192675918534,1.529691642602911
2021-08-31,1.2056639452647637,1.5301666017060052
2021-09-01,1.204759761815964,1.5302574394769577
2021-09-02,1.2139280784865838,1.540394794171426
2021-09-03,1.2086399678028559,1.5359112102587884
2021-09-07,1.1960727828041764,1.5224170395521694
2021-09-08,1.1948265311122468,1.5219144021932818
2021-09-09,1.1989125887284775,1.517373468747255
2021-09-10,1.1939426444056822,1.5078601189907612
2021-09-13,1.2033963526665798,1.513574937839403
2021-09-14,1.1975745847353116,1.5023288165630708
2021-09-15,1.2099294666853375,1.5162853906941312
2021-09-16,1.2067872422231967,1.513728988165896
2021-09-17,1.1951430409149832,1.5016873162806104
2021-09-20,1.1805915579512516,1.4789605187620911
2021-09-21,1.1744231496423538,1.4755710618282831
2021-09-22,1.1877098005609743,1.491926321152113
2021-09-23,1.2093474926310384,1.511978586397288
2021-09-24,1.2060947988946864,1.512818798197049
2021-09-27,1.2047217961308014,1.5150768432799195
2021-09-28,1.1859001052968072,1.490878748863329
2021-09-29,1.1894304314568827,1.493387445610034
2021-09-30,1.172109563382189,1.4725223094377544
2021-10-01,1.180268368478027,1.4896602457492785
2021-10-04,1.1684524946690198,1.4788771197666002
2021-10-05,1.1848029686744683,1.4910919524184634
2021-10-06,1.181469499944684,1.4940196090668625
2021-10-07,1.1973043543817414,1.5070634760646795
2021-10-08,1.1883384961532908,1.5034122449166811
2021-10-11,1.1822896678822716,1.4949531937385723
2021-10-12,1.1815508509026134,1.4961047798404163
2021-10-13,1.1901067430135044,1.5010606069559917
2021-10-14,1.2154102725931162,1.5265279840844943
2021-10-15,1.2204881022075587,1.53150323405776
2021-10-18,1.2291977600357769,1.5323387418877021
2021-10-19,1.236286303211216,1.5418985722412952
2021-10-20,1.247411375734917,1.5534248695274502
2021-10-21,1.253620533650273,1.5569573332800202
2021-10-22,1.2541585580760588,1.5620077881683374
2021-10-25,1.2554675200182441,1.5657384192304158
2021-10-26,1.2543638108408302,1.563662831459383
2021-10-27,1.250446787137363,1.5432651710206269
2021-10-28,1.2651859449011402,1.560251147832766
2021-10-29,1.2586974058455602,1.5584526780213344
2021-11-01,1.265401527599681,1.5690952596647778
2021-11-02,1.271236647005838,1.57310723135993
2021-11-03,1.2766040638097744,1.5826102900621464
2021-11-04,1.2640349164668787,1.5820033315685047
2021-11-05,1.2737744364169836,1.5941683213728985
2021-11-08,1.2794943805636878,1.5972217497221501
2021-11-09,1.2793896788186077,1.5975163378991581
2021-11-10,1.2792510382734175,1.5863117418779547
2021-11-11,1.2809048034737258,1.590070556915755
2021-11-12,1.2890753384025504,1.59792093614262
2021-11-15,1.2918482790667896,1.6012271704045073
2021-11-16,1.2950333557102498,1.6046360252488125
2021-11-17,1.2888129103327606,1.5963301983626255
2021-11-18,1.283422529451955,1.5914587502338369
2021-11-19,1.277231220137292,1.5824933959551069
2021-11-22,1.2859499529383456,1.5832073293472977
2021-11-23,1.2938844455972915,1.5887362503066431
2021-11-24,1.2986757146052506,1.5909606154666316
2021-11-26,1.2789134474707178,1.552184217520629
2021-11-29,1.2893668487868029,1.5652688268971047
2021-11-30,1.2588288755121517,1.5251846321352098
2021-12-01,1.2411016896436644,1.5052723132537613
2021-12-02,1.2773309967372055,1.5408407351716953
2021-12-03,1.26780747700568,1.5332461173733318
2021-12-06,1.275187630441556,1.5536895201884717
2021-12-07,1.3068368753329804,1.5803744813530713
2021-12-08,1.313184697410734,1.5862330712049797
2021-12-09,1.3018742943660864,1.5743993641333611
2021-12-10,1.309339325005069,1.5836874634022111
2021-12-13,1.2979236718018579,1.5732211273062382
2021-12-14,1.2945097923938726,1.5632477468254402
2021-12-15,1.31380788289914,1.5814574462199424
2021-12-16,1.3141071140630476,1.5775763873469255
2021-12-17,1.3015811877040486,1.5648590137207736
2021-12-20,1.2766884712129674,1.5441827643904973
2021-12-21,1.3042001329152133,1.5757026537408072
2021-12-22,1.3121413385315388,1.5880865628300893
2021-12-23,1.3198872949580733,1.598822884460801
2021-12-27,1.337021776052484,1.6195918267599572
2021-12-28,1.3378594930738943,1.6212131833126473
2021-12-29,1.3396058875042296,1.6258178119543496
2021-12-30,1.337397981433732,1.6227778630680354
2021-12-31,1.3403906951153006,1.623036000083948
2022-01-03,1.347456859957712,1.6233620271508862
2022-01-04,1.3630792930460756,1.6346652029655644
2022-01-05,1.326131532631877,1.6064330244375575
